"trial","ref_position","var_area","response","correct","rt"
1,"R",9.81483589531854,"R",FALSE,3.28999996185303
2,"R",9.77438597241417,"R",FALSE,1.10400009155273
3,"R",10.5497918445617,"R",FALSE,0.888000011444092
4,"L",12.2868892909028,"R",TRUE,0.704999923706055
5,"R",12.6142592679244,"R",FALSE,0.698999881744385
6,"L",10.2814524238929,"R",TRUE,0.604000091552734
7,"R",8.73990142252296,"R",TRUE,0.880000114440918
8,"R",10.641942769289,"R",FALSE,0.582000017166138
9,"L",10.762576532783,"R",TRUE,0.696999788284302
10,"L",8.39966723648831,"L",TRUE,1.79499983787537
11,"L",10.8548103743233,"L",FALSE,0.782999992370605
12,"L",14.5117475648876,"L",FALSE,0.592000007629395
13,"L",12.1595414446201,"L",FALSE,0.989000082015991
14,"R",12.1307150376961,"L",TRUE,0.685999870300293
15,"L",12.8683989329729,"L",FALSE,0.58899998664856
16,"L",12.858654536074,"L",FALSE,0.585999965667725
17,"R",12.3459635181352,"L",TRUE,0.710000038146973
18,"R",14.9776295034681,"L",TRUE,0.590000152587891
19,"R",11.155929654371,"L",TRUE,0.805000066757202
20,"L",10.7703195142094,"L",FALSE,0.585000038146973